ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Correlation_Correlation_DNA_DUTP,Location_Center_X,Location_Center_Y,Number_Object_Number
1,159,39,37,912,2.394472042,0.976215811,1,0.928571429,0.494418444,15.14325928,13.03840481,2,1.277651978,1,2,3.283074373,0.684933724,31.484,0.987341772,-0.323083902,34.66666667,912.025641,159
1,22,10,45,157,1.715309589,0.953111763,1,0.833333333,0.528906805,6.42303833,5.099019514,1,1,1,1,1.943730347,6.021287571,15.414,1,-0.184609245,45.9,156.4,22
1,110,17,49,681,1.363296466,0.906166092,1,0.80952381,0.654248115,7.172339877,6.08276253,2,1.166378066,1,2,3.033340289,6.371760679,18.07,0.971428571,-0.07240804,49.05882353,681.1176471,110
1,160,24,57,913,1.845322074,0.95538469,1,0.8,0.566664383,10.27225561,9.055385138,2,1.159517797,1,2,3.034058005,2.672722686,23.07,0.905660377,0.092211124,56.41666667,912.8333333,160
1,79,14,61,498,2.019595277,0.969986048,1,0.875,0.717755079,8.335643931,7.071067812,1,1,1,1,2.026899999,3.562508174,15.656,1,0.769737689,57.5,497.5,79
1,23,2,62,157,0.785398163,0.998966408,1,1,0.698131701,2.09,1,1,1,1,0,0.095,0,6,1,0,61.5,157,23
1,29,50,59,225,3.001703816,0.984514132,1,0.657894737,0.398134848,19.31603621,18.02775638,2,1.233137085,1,3,3.386202153,2.806449858,39.726,0.840336134,-0.130279935,61.74,225.16,29
1,43,250,76,307,5.869310584,0.994814902,1,0.637755102,0.212623549,60.76487518,55.14526272,4,1.735314785,2,6,6.179913376,2.031132989,121.554,0.796178344,0.307568132,62.604,306.644,43
1,14,8,73,68,0.957204012,0.605068787,1,0.888888889,0.857439244,3.550441361,2.828427125,1.414213562,1.051776695,1,2,2.826766256,-45,10.828,1.142857143,-0.143408183,73.125,68.125,14
1,88,39,102,559,2.751429079,0.981192064,1,0.8125,0.430868554,16.29922163,15,2,1.200728901,1,2,3.146304327,0.937852407,33.726,0.906976744,-0.001774936,99.84615385,559.025641,88
