    al	    xc	    yc	    do	     h	    xl	    yl	    lo	counter
 15.14	 34.67	912.03	159.00	  5.00	270.50	907.00	 40.00	  1.00
 15.14	 34.67	912.03	159.00	  6.00	307.85	881.00	 37.00	  2.00
 15.14	 34.67	912.03	159.00	 25.00	1095.11	897.32	 39.00	  3.00
 15.14	 34.67	912.03	159.00	 31.00	1453.56	893.14	 38.00	  4.00


  7.17	 49.06	681.12	110.00	 28.00	1341.00	690.50	 30.00	  1.00

 10.27	 56.42	912.83	160.00	  5.00	270.50	907.00	 40.00	  1.00
 10.27	 56.42	912.83	160.00	  6.00	307.85	881.00	 37.00	  2.00
 10.27	 56.42	912.83	160.00	 25.00	1095.11	897.32	 39.00	  3.00
 10.27	 56.42	912.83	160.00	 31.00	1453.56	893.14	 38.00	  4.00

  8.34	 57.50	497.50	 79.00	  7.00	419.00	506.00	 19.00	  1.00



 60.76	 62.60	306.64	 43.00	  1.00	 66.72	306.17	  6.00	  1.00
 60.76	 62.60	306.64	 43.00	 10.00	599.50	308.44	  7.00	  2.00
 60.76	 62.60	306.64	 43.00	 40.00	1767.43	329.62	  8.00	  3.00


 16.30	 99.85	559.03	 88.00	  3.00	166.30	581.05	 20.00	  1.00
 16.30	 99.85	559.03	 88.00	 32.00	1457.00	587.20	 23.00	  2.00
 16.30	 99.85	559.03	 88.00	 33.00	1473.65	589.92	 24.00	  3.00
 16.30	 99.85	559.03	 88.00	 34.00	1481.00	589.80	 25.00	  4.00
 16.30	 99.85	559.03	 88.00	 35.00	1516.00	591.00	 26.00	  5.00
 16.30	 99.85	559.03	 88.00	 36.00	1538.68	591.61	 27.00	  6.00
 16.30	 99.85	559.03	 88.00	 38.00	1702.54	584.54	 21.00	  7.00

 13.99	110.89	578.55	 92.00	  2.00	141.43	589.46	 22.00	  1.00
 13.99	110.89	578.55	 92.00	  3.00	166.30	581.05	 20.00	  2.00
 13.99	110.89	578.55	 92.00	 32.00	1457.00	587.20	 23.00	  3.00
 13.99	110.89	578.55	 92.00	 33.00	1473.65	589.92	 24.00	  4.00
 13.99	110.89	578.55	 92.00	 34.00	1481.00	589.80	 25.00	  5.00
 13.99	110.89	578.55	 92.00	 35.00	1516.00	591.00	 26.00	  6.00
 13.99	110.89	578.55	 92.00	 36.00	1538.68	591.61	 27.00	  7.00
 13.99	110.89	578.55	 92.00	 37.00	1633.71	608.50	 28.00	  8.00
 13.99	110.89	578.55	 92.00	 38.00	1702.54	584.54	 21.00	  9.00

  2.09	122.50	559.50	 90.00	  3.00	166.30	581.05	 20.00	  1.00
  2.09	122.50	559.50	 90.00	 32.00	1457.00	587.20	 23.00	  2.00
  2.09	122.50	559.50	 90.00	 33.00	1473.65	589.92	 24.00	  3.00
  2.09	122.50	559.50	 90.00	 34.00	1481.00	589.80	 25.00	  4.00
  2.09	122.50	559.50	 90.00	 35.00	1516.00	591.00	 26.00	  5.00
  2.09	122.50	559.50	 90.00	 36.00	1538.68	591.61	 27.00	  6.00
  2.09	122.50	559.50	 90.00	 38.00	1702.54	584.54	 21.00	  7.00


  4.29	133.29	526.50	 85.00	  7.00	419.00	506.00	 19.00	  1.00

  7.48	137.42	560.42	 91.00	  3.00	166.30	581.05	 20.00	  1.00
  7.48	137.42	560.42	 91.00	 32.00	1457.00	587.20	 23.00	  2.00
  7.48	137.42	560.42	 91.00	 33.00	1473.65	589.92	 24.00	  3.00
  7.48	137.42	560.42	 91.00	 34.00	1481.00	589.80	 25.00	  4.00
  7.48	137.42	560.42	 91.00	 35.00	1516.00	591.00	 26.00	  5.00
  7.48	137.42	560.42	 91.00	 36.00	1538.68	591.61	 27.00	  6.00
  7.48	137.42	560.42	 91.00	 38.00	1702.54	584.54	 21.00	  7.00

  5.62	145.50	580.17	 94.00	  2.00	141.43	589.46	 22.00	  1.00
  5.62	145.50	580.17	 94.00	  3.00	166.30	581.05	 20.00	  2.00
  5.62	145.50	580.17	 94.00	 32.00	1457.00	587.20	 23.00	  3.00
  5.62	145.50	580.17	 94.00	 33.00	1473.65	589.92	 24.00	  4.00
  5.62	145.50	580.17	 94.00	 34.00	1481.00	589.80	 25.00	  5.00
