    al	    xc	    yc	    do	     h	    xl	    yl	    lo	counter
 60.76	 62.60	306.64	 43.00	  1.00	 66.72	306.17	  6.00	  1.00

101.35	150.12	587.09	 93.00	  2.00	141.43	589.46	 22.00	  1.00
101.35	150.12	587.09	 93.00	  3.00	166.30	581.05	 20.00	  2.00

 38.23	278.35	907.44	154.00	  5.00	270.50	907.00	 40.00	  1.00

 22.54	313.69	881.39	145.00	  6.00	307.85	881.00	 37.00	  1.00

 29.97	420.05	505.82	 80.00	  7.00	419.00	506.00	 19.00	  1.00

 25.70	501.53	337.22	 51.00	  8.00	491.75	336.75	  9.00	  1.00

152.38	588.63	308.16	 44.00	 10.00	599.50	308.44	  7.00	  1.00

 49.30	631.29	846.02	141.00	 13.00	630.69	845.69	 36.00	  1.00

216.26	640.16	431.70	 68.00	  9.00	585.49	430.19	 13.00	  1.00
216.26	640.16	431.70	 68.00	 11.00	607.94	430.42	 14.00	  2.00
216.26	640.16	431.70	 68.00	 12.00	616.90	430.55	 15.00	  3.00
216.26	640.16	431.70	 68.00	 14.00	656.56	432.75	 16.00	  4.00
216.26	640.16	431.70	 68.00	 16.00	707.44	434.88	 17.00	  5.00
216.26	640.16	431.70	 68.00	 17.00	718.21	433.93	 18.00	  6.00

 11.11	666.59	126.56	 17.00	 15.00	664.50	127.00	  4.00	  1.00

125.62	760.59	390.16	 59.00	 18.00	727.81	389.75	 11.00	  1.00
125.62	760.59	390.16	 59.00	 19.00	734.26	388.56	 10.00	  2.00
125.62	760.59	390.16	 59.00	 21.00	781.89	390.28	 12.00	  3.00

 34.00	783.49	634.57	101.00	 20.00	770.50	633.50	 29.00	  1.00

113.22	993.01	790.68	125.00	 22.00	994.62	794.68	 32.00	  1.00
113.22	993.01	790.68	125.00	 23.00	999.66	784.92	 31.00	  2.00
113.22	993.01	790.68	125.00	 24.00	1012.53	794.93	 33.00	  3.00

 79.94	1077.73	833.23	139.00	 26.00	1095.53	834.30	 35.00	  1.00

 39.56	1102.41	896.93	149.00	 25.00	1095.11	897.32	 39.00	  1.00

  4.98	1315.50	 27.00	  8.00	 27.00	1316.00	 26.80	  3.00	  1.00

  5.77	1339.28	691.39	112.00	 28.00	1341.00	690.50	 30.00	  1.00

 49.23	1363.65	136.84	 19.00	 29.00	1356.61	137.07	  5.00	  1.00

 45.06	1465.03	893.52	148.00	 31.00	1453.56	893.14	 38.00	  1.00

 42.72	1467.57	822.59	137.00	 30.00	1449.50	821.50	 34.00	  1.00

175.40	1503.10	591.83	 97.00	 32.00	1457.00	587.20	 23.00	  1.00
175.40	1503.10	591.83	 97.00	 33.00	1473.65	589.92	 24.00	  2.00
175.40	1503.10	591.83	 97.00	 34.00	1481.00	589.80	 25.00	  3.00
175.40	1503.10	591.83	 97.00	 35.00	1516.00	591.00	 26.00	  4.00
175.40	1503.10	591.83	 97.00	 36.00	1538.68	591.61	 27.00	  5.00

  6.08	1634.50	608.50	100.00	 37.00	1633.71	608.50	 28.00	  1.00

 16.21	1705.78	584.65	 96.00	 38.00	1702.54	584.54	 21.00	  1.00

 37.12	1781.71	330.21	 50.00	 40.00	1767.43	329.62	  8.00	  1.00
