    al	    xc	    yc	    do	    ao	    xl	    yl	    lo	counter
 60.76	 62.60	306.64	 43.00	  5.37	 66.72	306.17	  6.00	  1.00

101.35	150.12	587.09	 93.00	 13.81	141.43	589.46	 22.00	  1.00
101.35	150.12	587.09	 93.00	  9.75	166.30	581.05	 20.00	  2.00

149.81	222.61	906.31	153.00	  4.98	270.50	907.00	 40.00	  1.00

 57.59	268.71	906.84	156.00	  4.98	270.50	907.00	 40.00	  1.00

 22.54	313.69	881.39	145.00	  5.29	307.85	881.00	 37.00	  1.00

 29.97	420.05	505.82	 80.00	  3.35	419.00	506.00	 19.00	  1.00

238.66	572.51	309.41	 40.00	 12.10	599.50	308.44	  7.00	  1.00

 25.70	501.53	337.22	 51.00	  3.97	491.75	336.75	  9.00	  1.00

 49.30	631.29	846.02	141.00	 10.73	630.69	845.69	 36.00	  1.00

216.26	640.16	431.70	 68.00	 13.27	578.85	430.19	 13.00	  1.00
216.26	640.16	431.70	 68.00	 13.27	592.12	430.19	 13.00	  2.00
216.26	640.16	431.70	 68.00	 11.52	607.94	430.42	 14.00	  3.00
216.26	640.16	431.70	 68.00	  9.58	616.90	430.55	 15.00	  4.00
216.26	640.16	431.70	 68.00	  9.16	656.56	432.75	 16.00	  5.00
216.26	640.16	431.70	 68.00	  9.24	702.82	434.88	 17.00	  6.00
216.26	640.16	431.70	 68.00	  9.24	712.06	434.88	 17.00	  7.00
216.26	640.16	431.70	 68.00	  6.97	718.21	433.93	 18.00	  8.00

 11.11	666.59	126.56	 17.00	  6.28	664.50	127.00	  4.00	  1.00

125.62	760.59	390.16	 59.00	  6.68	727.81	389.75	 11.00	  1.00
125.62	760.59	390.16	 59.00	  8.82	734.26	388.56	 10.00	  2.00
125.62	760.59	390.16	 59.00	  5.16	781.89	390.28	 12.00	  3.00

 34.00	783.49	634.57	101.00	  4.86	770.50	633.50	 29.00	  1.00

113.22	993.01	790.68	125.00	  7.21	994.62	794.68	 32.00	  1.00
113.22	993.01	790.68	125.00	  9.81	999.66	784.92	 31.00	  2.00
113.22	993.01	790.68	125.00	  8.01	1012.53	794.93	 33.00	  3.00

 88.35	1081.78	834.14	139.00	 10.08	1095.53	834.30	 35.00	  1.00

 39.56	1102.41	896.93	149.00	  8.69	1095.11	897.32	 39.00	  1.00

  4.98	1315.50	 27.00	  8.00	  4.00	1316.00	 26.80	  3.00	  1.00

  5.77	1339.28	691.39	112.00	  3.32	1341.00	690.50	 30.00	  1.00

 49.23	1363.65	136.84	 19.00	  6.42	1356.61	137.07	  5.00	  1.00

 45.06	1465.03	893.52	148.00	  9.47	1453.56	893.14	 38.00	  1.00

 42.72	1467.57	822.59	137.00	  2.09	1449.50	821.50	 34.00	  1.00

175.40	1503.10	591.83	 97.00	  4.00	1457.00	587.20	 23.00	  1.00
175.40	1503.10	591.83	 97.00	  7.63	1473.65	589.92	 24.00	  2.00
175.40	1503.10	591.83	 97.00	  4.00	1481.00	589.80	 25.00	  3.00
175.40	1503.10	591.83	 97.00	  5.17	1516.00	591.00	 26.00	  4.00
175.40	1503.10	591.83	 97.00	  8.82	1538.68	591.61	 27.00	  5.00

  6.08	1634.50	608.50	100.00	  4.29	1633.71	608.50	 28.00	  1.00

 16.21	1705.78	584.65	 96.00	  8.03	1702.54	584.54	 21.00	  1.00

 37.12	1781.71	330.21	 50.00	  6.34	1767.43	329.62	  8.00	  1.00

